Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Industry_type,SubVertical,CityLocation,Citycode,Investors Name,InvestmentnType,InvestmentID,Amount in USD,Remarks
216,25/07/2018,Black Soil,Finance,183,Non-Banking Financial Company,Bangalore,12,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,22,17000000,nan
217,25/07/2018,Trell,Consumer Internet,184,Mobile-First Video Blogging App,Bangalore,12,"BeeNext , WEH Ventures and Sprout Ventures",Private Equity,22,1250000,nan
218,25/07/2018,iqlect,Technology,185,Data Analytics Firm,Bangalore,12,Ventureast and Exfinity,Private Equity,22,2500000,nan
219,26/07/2018,Entropik,IT,186,Software-As-A-Service Platform,Bangalore,12,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Private Equity,22,1100000,nan
220,26/07/2018,Bitla Software,Technology,187,Travel-Focused Tech Startup,Bangalore,12,MakeMyTrip,Private Equity,22,N/A,nan
221,26/07/2018,TheCapitalNet,Fin-Tech,188,Unified Global Investments Ecosystem,Bangalore,12,Lindwall Family Investments LLC (LFI),Private Equity,22,500000,nan
222,30/07/2018,Shuttl,Consumer Internet,189,Bus Aggregation Platform,Bangalore,12,Amazon Alexa Fund & Dentsu Ventures,Private Equity,22,11000000,nan
223,30/07/2018,Cure Fit,Consumer Internet,189,Health and fitness Platform,Bangalore,12,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,22,120000000,nan
224,31/07/2018,Five Star Group,Fin-Tech,190,Non-Bank Lending Platform For SME,Bangalore,12,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,22,100000000,nan
225,31/07/2018,Healthsignz,Healthcare,191,Health and Well being Platform,Bangalore,12,Kantilal Patel,Private Equity,22,5000000,nan
226,1/6/2018,CoinTribe,Finance,192,Credit-Based Lending Marketplace For Small And Medium Enterprises,Bangalore,12,"Sabre Partners, Puneet Dalmia & Others",Private Equity,22,10000000,nan
227,4/6/2018,Digiconectt,Technology,193,Sales Analytics and Enablement Platform,Bangalore,12,Aspire Logistics LLC,Private Equity,22,125000,nan
228,4/6/2018,Kashmir Box,E-Commerce,194,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Bangalore,12,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",Private Equity,22,N/A,nan
229,5/6/2018,Crowdera,Finance,195,Online Crowdfunding Platform,Bangalore,12,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",Private Equity,22,N/A,nan
230,5/6/2018,Zoctr,Healthcare,196,Online Healthcare Aggregator,Bangalore,12,NB Ventures and Others,Private Equity,22,N/A,nan
231,7/6/2018,Annapurna Finance,Finance,197,Non-Banking Financial Company,Bangalore,12,Oman India Joint Investment Fund (OIJIF),Private Equity,22,23000000,nan
232,7/6/2018,Meesho,Consumer Internet,198,Online Marketplace For Resellers,Bangalore,12,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,22,11500000,nan
233,10/6/2018,AyeFinance,Finance,199,Online Lending Platform,Bangalore,12,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,22,21500000,nan
234,11/6/2018,Theranosis,Healthcare,200,Specialised diagnostics Platform,Bangalore,12,Mumbai Angels Network,Private Equity,22,N/A,nan
235,12/6/2018,Alpha Capital,Finance,201,Supplychain Finance,Bangalore,12,Alpha Capital,Private Equity,22,14800000,nan
236,12/6/2018,eshakti,E-Commerce,202,Fashion e-tailer,Bangalore,12,Paragon Partners,Private Equity,22,10100000,nan
237,12/6/2018,Daily Ninja,Consumer Internet,203,Hyperlocal Delivery Platform,Bangalore,12,Saama Capital and Sequoia Capital,Private Equity,22,3000000,nan
238,13/06/2018,NirogStreet,Healthcare,204,An Online Platform That Connects Ayurveda Doctors With Patients,Bangalore,12,"Spiral Ventures, Subho Ray and Samir Kumar",Private Equity,22,300000,nan
239,13/06/2018,Nivesh,Finance,205,Mass Market Mutual Fund Investment Platform,Bangalore,12,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",Private Equity,22,450000,nan
240,13/06/2018,What\\xe2\\x80\\x99s Up Life,Consumer Internet,206,"A Local Discovery App For Dining-Out, Party, Leisure and Events",Bangalore,12,Rannvijay Singha,Private Equity,22,N/A,nan
241,14/06/2018,HomeLane,Consumer Internet,206,Online Home Furnishing Solutions,Bangalore,12,Brand Capital,Private Equity,22,3450000,nan
242,14/06/2018,Network Intelligence,Technology,207,Cybersecurity Specialist,Bangalore,12,Helix Investments,Private Equity,22,4800000,nan
243,18/06/2018,Tynor Othontics,Healthcare,208,Prosthetics Manufacturers,Bangalore,12,Lighthouse Funds & Thuasne Participations,Private Equity,22,21000000,nan
244,18/06/2018,Elucidata,IT,209,Data Analytics (SaaS),Bangalore,12,Hyperplane Venture Capital and several angel investors,Private Equity,22,1700000,nan
245,19/06/2018,Chrysalis,Ed-Tech,210,Education Services Provider,Bangalore,12,Menterra Venture & Artha Initiatives,Private Equity,22,N/A,nan
246,19/06/2018,RentSher,Consumer Internet,211,Online Rental Marketplace,Bangalore,12,"Shorooq Investments, LetsVenture & Others",Private Equity,22,1100000,nan
247,20/06/2018,Drip capital,Finance,212,Trade Finance Firm,Bangalore,12,"Accel Partners, Sequoia India, Y Combinator and others.",Private Equity,22,15000000,nan
248,22/06/2018,WickedRide,Consumer Internet,213,Online Motorbike And Scooter Rental Platforms,Bangalore,12,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",Private Equity,22,9100000,nan
249,25/06/2018,PolicyBazaar,Consumer Internet,213,Online Insurance Selling Platform,Bangalore,12,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,22,200000000,nan
250,25/06/2018,HipBar,Consumer Internet,213,Digital Payment Platform For Beverage Delivery,Bangalore,12,Diageo India,Private Equity,22,4000000,nan
251,25/06/2018,Sqqrl,Finance,214,App-based investment platform,Bangalore,12,Equanimity Venture Fund,Private Equity,22,1000000,nan
252,26/06/2018,Paytm,Technology,215,Digital Payment Platform,Bangalore,12,One 97 Communications,Private Equity,22,8950000,nan
253,26/06/2018,Sigtuple,Healthcare,216,Data Driven Intelligence Solutions Platform,Bangalore,12,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,22,19000000,nan
254,27/06/2018,Wow Express,Technology,217,E-commerce Logistics Platform,Bangalore,12,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,22,4500000,nan
255,28/06/2018,Front Desk AI,Technology,217,An AI Platform Offering Automated Customer Service Software,Bangalore,12,Speciale Invest & Others,Private Equity,22,1100000,nan
256,28/06/2018,Edureka,Ed-Tech,218,Online Education Platform,Bangalore,12,Leo Capital,Private Equity,22,2000000,nan
257,29/06/2018,Numeroseven,Technology,219,An Artificial Intelligence-Based Recruitment Platform,Bangalore,12,Shiva Gunapu & Others,Private Equity,22,N/A,nan
258,2/5/2018,OpenTap,Finance,220,Online Lending Platform,Bangalore,12,Unknown High Net-Worth Individuals,Private Equity,22,450000,nan
259,2/5/2018,Bizongo,Consumer Internet,221,Aggregator For Packaging Material,Bangalore,12,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,22,22000000,nan
260,3/5/2018,Disprz,IT,222,SaaS,Bangalore,12,"IL&FS Private Equity, Kae Capital & Others",Private Equity,22,2500000,nan
261,7/5/2018,PaisaDukan,Consumer Internet,223,P2P Lending Platform,Bangalore,12,N/A,Private Equity,22,225000,nan
262,9/5/2018,i3sysytems,Technology,224,AI product company For Health and Life Insurane Companies,Bangalore,12,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Private Equity,22,1000000,nan
263,11/5/2018,Earth Food,Consumer Internet,225,Agri-tech,Bangalore,12,Rairah Corporation,Private Equity,22,949000,nan
264,14/05/2018,Nykaa,Consumer Internet,225,Beauty e-tailer,Bangalore,12,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,22,24000000,nan
265,16/05/2018,mfine,Healthcare,226,Doctor-Consultation App,Bangalore,12,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity,22,4200000,nan
266,21/05/2018,Rocketium,Technology,227,Online Video Creation Platform,Bangalore,12,Blume ventures,Private Equity,22,300000,nan
267,21/05/2018,MilkBasket,Technology,227,Micro-Delivery Grocery Startup,Bangalore,12,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,22,7000000,nan
268,22/05/2018,Vola,Finance,228,Micro Lending Platform,Bangalore,12,Credika and unnamed angel investors,Private Equity,22,500000,nan
269,22/05/2018,Cashkumar,Consumer Internet,229,P2P Lending Platform,Bangalore,12,LetsVenture,Private Equity,22,735000,nan
270,23/05/2018,Edyoo,E-Commerce,230,Products For Shoolgoing Children,Bangalore,12,RS Shanbag,Private Equity,22,735000,nan
271,23/05/2018,Aashiyaan,Finance,231,Housing Finance For Low-Income Families,Bangalore,12,"Insistor, Oikocredit",Private Equity,22,2000000,nan
272,24/05/2018,Smartivity,Ed-tech,232,Designer Of Toys and Learning Projects For Kids,Bangalore,12,"Ashish Kacholi, S Chand Group",Private Equity,22,2000000,nan
273,24/05/2018,Bonphulapl,Clean-tech,233,Oxygen Optimiser Manufacturer,Bangalore,12,Atul Gupta and Saurabh Rastogi,Private Equity,22,293000,nan
274,27/05/2018,Acko,Consumer Internet,234,Online Insurance Platform,Bangalore,12,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Private Equity,22,12000000,nan
275,28/05/2018,HWell24,Healthcare,235,Home Healthcare Aggregator,Bangalore,12,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",Private Equity,22,200000,nan
276,29/05/2018,Toffee,Consumer Internet,236,Online Insurance Platform,Bangalore,12,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Private Equity,22,1500000,nan
277,29/05/2018,Tonetag,Technology,237,Mobile Payments Technology Platform,Bangalore,12,Amazon Inc. and Mastercard,Private Equity,22,8000000,nan
278,30/05/2018,Events High,Consumer Internet,238,Events and Activities Discovery Platform,Bangalore,12,Treebo,Private Equity,22,N/A,nan
279,30/05/2018,Stellaps,Technology,239,Iot Application Platform In Agriculture,Bangalore,12,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",Private Equity,22,14000000,nan
280,31/05/2018,Credright,Consumer Internet,240,Lending Platform For SMEs,Bangalore,12,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",Private Equity,22,1300000,nan
281,2/4/2018,Fitternity,Consumer Internet,240,Online Fitness Discovey Platform,Bangalore,12,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,22,2000000,nan
282,2/4/2018,Synctag,Technology,241,Social Media Anlaytics Platform,Bangalore,12,Subhkam Ventures and Mohit Khadaria,Private Equity,22,307600,nan
283,2/4/2018,Benepik,Technology,241,Enhanced Employee Engagement Platform,Bangalore,12,"Vishal Bali, Yogesh Misra, Thomas Assessments and others",Private Equity,22,N/A,nan
284,2/4/2018,Finzy,Consumer Internet,242,Online Loan Matchmaking Platform,Bangalore,12,N/A,Private Equity,22,1300000,nan
285,4/4/2018,Varthana,Finance,243,Loans and Services To Affordable Private Schools in India,Bangalore,12,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,22,55000000,nan
286,5/4/2018,IndigoLearn,Ed-Tech,244,Online Education Platform,Bangalore,12,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Private Equity,22,150000,nan
287,5/4/2018,Vedantu,Ed-Tech,244,Interactive Online Tutoring Platform,Bangalore,12,"Accel Partners, Tiger Global And Others",Private Equity,22,10000000,nan
288,9/4/2018,Kaleidofin,Fiinance,245,Digital Financial Services Platform,Bangalore,12,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Private Equity,22,2800000,nan
289,9/4/2018,Pipabella,Consumer Internet,246,Fashion Accessories Etailer,Bangalore,12,Fireside Ventures,Private Equity,22,1000000,nan
290,9/4/2018,Elemential,Technology,247,Blockchain Platform,Bangalore,12,"Matrix Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik and others",Private Equity,22,N/A,nan
291,9/4/2018,Kriger Campus,Ed-Tech,248,Mobile-Based Education Network,Bangalore,12,N/A,Private Equity,22,"46,140",nan
292,10/4/2018,Loanzen,Finance,249,Digital Lending Platform In Logistics,Bangalore,12,Kae Capital Management,Private Equity,22,N/A,nan
293,10/4/2018,TravelTriangle,Consumer Internet,250,Online Travel Marketplace,Bangalore,12,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,22,12000000,nan
294,12/4/2018,Letsmd,Healthcare,251,Platform To Discover Healthcare Financing Options,Bangalore,12,"SRI Capital, Waterbridge Ventures and ThinKuvate",Private Equity,22,1000000,nan
295,12/4/2018,AyeFinance,Finance,252,Online Lending Platform,Bangalore,12,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",Private Equity,22,4600000,nan
296,13/04/2018,mintifi,Finance,252,Online Lending Platform,Bangalore,12,Lok Capital,Private Equity,22,2000000,nan
297,16/04/2018,icanstay,Consumer Internet,253,Online Platform For Luxury Hotel Stay For Business Travelers,Bangalore,12,Mr. Manoj Prasad,Private Equity,22,500000,nan
